"area","price","MS.SubClass","MS.Zoning","Lot.Frontage","Lot.Area","Street","Lot.Shape","Land.Contour","Lot.Config","Land.Slope","Neighborhood","Condition.1","Condition.2","Bldg.Type","House.Style","Overall.Qual","Overall.Cond","Year.Built","Year.Remod.Add","Roof.Style","Roof.Matl","Exterior.1st","Exterior.2nd","Mas.Vnr.Type","Mas.Vnr.Area","Exter.Qual","Exter.Cond","Foundation","Bsmt.Qual","Bsmt.Cond","BsmtFin.Type.1","BsmtFin.SF.1","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating","Heating.QC","Central.Air","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.AbvGr","Kitchen.Qual","TotRms.AbvGrd","Functional","Fireplaces","Garage.Type","Garage.Yr.Blt","Garage.Finish","Garage.Cars","Garage.Area","Garage.Qual","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Pool.Area","Misc.Val","Mo.Sold","Yr.Sold","Sale.Type","Sale.Condition"
3279,538000,60,"RL",47,53504,"Pave","SomeAggedLvls","SomeAggedLvls","SomeAggedLvls","SomeAggedLvls","SomeAggedLvls","Norm","Norm","1Fam","2Story",8,5,2003,2003,"Hip","CompShg","SomeAggedLvls","SomeAggedLvls","BrkFace",603,"SomeAggedLvls","TA","PConc","Gd","TA","ALQ",1416,0,234,1650,"GasA","Ex","Y",1690,1589,0,1,0,3,1,4,1,"SomeAggedLvls",12,"SomeAggedLvls",1,"SomeAggedLvls",2003,"Fin",3,841,"TA","TA","Y",503,36,0,0,210,0,0,6,2010,"WD ","Normal"
1752,164000,50,"RL",152,12134,"Pave","IR1","SomeAggedLvls","Inside","SomeAggedLvls","SomeAggedLvls","Norm","Norm","1Fam","1.5Fin",8,7,1988,2005,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"Gd","TA","SomeAggedLvls","Gd","TA","GLQ",427,0,132,559,"GasA","Gd","Y",1080,672,0,0,0,2,0,4,1,"TA",8,"Typ",0,"SomeAggedLvls",1988,"RFn",2,492,"TA","TA","Y",325,12,0,0,0,0,0,6,2010,"WD ","Normal"
1856,394432,20,"RL",88,11394,"Pave","Reg","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",9,2,2010,2010,"Hip","CompShg","VinylSd","VinylSd","SomeAggedLvls",350,"Gd","TA","PConc","SomeAggedLvls","TA","GLQ",1445,0,411,1856,"GasA","Ex","Y",1856,0,0,1,0,1,1,1,1,"SomeAggedLvls",8,"Typ",1,"Attchd",2010,"Fin",3,834,"TA","TA","Y",113,0,0,0,0,0,0,6,2010,"SomeAggedLvls","SomeAggedLvls"
864,141000,20,"RL",140,19138,"Pave","Reg","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",4,5,1951,1951,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","SomeAggedLvls",120,0,744,864,"GasA","Ex","Y",864,0,0,0,0,1,0,2,1,"TA",4,"Typ",0,"Detchd",1951,"Unf",2,400,"TA","TA","Y",0,0,0,0,0,0,0,6,2010,"WD ","Normal"
2073,210000,20,"RL",85,13175,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",6,6,1978,1988,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","SomeAggedLvls",119,"TA","TA","CBlock","Gd","TA","ALQ",790,163,589,1542,"GasA","TA","Y",2073,0,0,1,0,2,0,3,1,"TA",7,"SomeAggedLvls",2,"Attchd",1978,"Unf",2,500,"TA","TA","Y",349,0,0,0,0,0,0,2,2010,"WD ","Normal"
1844,190000,20,"RL",105,11751,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",6,6,1977,1977,"Hip","CompShg","SomeAggedLvls","SomeAggedLvls","BrkFace",480,"TA","TA","CBlock","Gd","TA","SomeAggedLvls",705,0,1139,1844,"GasA","Ex","Y",1844,0,0,0,0,2,0,3,1,"TA",7,"Typ",1,"Attchd",1977,"RFn",2,546,"TA","TA","Y",0,122,0,0,0,0,0,1,2010,"SomeAggedLvls","Normal"
1173,170000,85,"RL",85,10625,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","SomeAggedLvls",7,6,1974,1974,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","BrkFace",81,"TA","TA","CBlock","Gd","TA","GLQ",885,168,0,1053,"GasA","TA","Y",1173,0,0,1,0,2,0,3,1,"Gd",6,"Typ",2,"Attchd",1974,"RFn",2,528,"TA","TA","Y",0,120,0,0,0,0,0,1,2010,"WD ","SomeAggedLvls"
1056,142000,20,"RL",65,8450,"Pave","Reg","Lvl","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story",5,6,1968,1968,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","CBlock","TA","TA","SomeAggedLvls",775,0,281,1056,"GasA","Ex","Y",1056,0,0,1,0,1,0,3,1,"TA",6,"Typ",1,"Attchd",1968,"Unf",1,304,"TA","TA","Y",0,85,184,0,0,0,0,7,2010,"WD ","Normal"
882,126000,20,"RL",70,8400,"Pave","Reg","Lvl","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,1970,1970,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"TA","TA","CBlock","TA","TA","ALQ",804,78,0,882,"GasA","TA","Y",882,0,0,1,0,1,0,2,1,"TA",4,"Typ",0,"Attchd",1970,"Fin",2,525,"TA","TA","Y",240,0,0,0,0,0,0,4,2010,"WD ","Normal"
1337,184000,120,"SomeAggedLvls",26,5858,"Pave","IR1","Lvl","SomeAggedLvls","Gtl","NAmes","Norm","Norm","SomeAggedLvls","1Story",7,5,1999,1999,"Gable","CompShg","MetalSd","MetalSd","None",0,"Gd","TA","PConc","Gd","TA","GLQ",1051,0,354,1405,"GasA","Ex","Y",1337,0,0,1,0,2,0,2,1,"Gd",5,"Typ",1,"Attchd",1999,"Fin",2,511,"TA","TA","Y",203,68,0,0,0,0,0,6,2010,"WD ","Normal"
987,96000,160,"RM",21,1680,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",504,"TA","TA","CBlock","TA","TA","SomeAggedLvls",156,0,327,483,"GasA","TA","Y",483,504,0,0,0,1,1,2,1,"TA",5,"Typ",0,"Detchd",1971,"Unf",1,264,"TA","TA","Y",275,0,0,0,0,0,0,2,2010,"SomeAggedLvls","Normal"
1092,105500,160,"RM",21,1680,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",5,5,1971,1971,"Gable","CompShg","HdBoard","HdBoard","BrkFace",492,"TA","TA","CBlock","TA","TA","SomeAggedLvls",300,0,225,525,"GasA","TA","Y",525,567,0,0,0,1,1,3,1,"TA",6,"Typ",0,"Detchd",1997,"Unf",1,320,"TA","TA","Y",0,0,0,0,0,0,0,3,2010,"WD ","Normal"
1092,88000,160,"RM",21,1680,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",6,5,1971,1971,"Gable","CompShg","HdBoard","SomeAggedLvls","BrkFace",381,"TA","TA","CBlock","TA","TA","Unf",0,0,525,525,"GasA","TA","Y",525,567,0,0,0,1,1,3,1,"TA",6,"Typ",0,"Detchd",1971,"Unf",1,264,"TA","TA","Y",0,0,0,0,0,0,0,3,2010,"WD ","SomeAggedLvls"
1069,127500,120,"RL",53,4043,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",6,5,1977,1977,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"TA","TA","CBlock","Gd","TA","ALQ",360,0,709,1069,"GasA","TA","Y",1069,0,0,0,0,2,0,2,1,"TA",4,"Typ",1,"Attchd",1977,"RFn",2,440,"TA","TA","Y",0,55,0,0,165,0,0,7,2010,"WD ","Normal"
1456,149900,160,"RL",24,2280,"Pave","Reg","Lvl","SomeAggedLvls","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",6,6,1975,1975,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"TA","TA","CBlock","TA","TA","ALQ",514,0,341,855,"GasA","TA","Y",855,601,0,0,0,2,1,3,1,"Gd",6,"Typ",1,"Attchd",1975,"Unf",2,440,"TA","TA","Y",173,0,0,0,0,0,0,6,2010,"WD ","Normal"
836,120000,120,"RL",24,2280,"Pave","Reg","Lvl","SomeAggedLvls","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",7,6,1975,1975,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"TA","TA","CBlock","Gd","TA","Unf",0,0,836,836,"GasA","Ex","Y",836,0,0,0,0,1,0,2,1,"TA",4,"Typ",0,"Attchd",1975,"Unf",1,308,"TA","TA","Y",0,30,0,0,0,0,0,6,2010,"WD ","Normal"
1456,146000,160,"RL",24,2280,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",6,5,1978,1978,"Gable","CompShg","SomeAggedLvls","SomeAggedLvls","None",0,"TA","TA","CBlock","Gd","TA","ALQ",311,0,544,855,"GasA","SomeAggedLvls","Y",855,601,0,0,0,2,1,3,1,"TA",7,"Typ",1,"Attchd",1978,"Unf",2,440,"TA","TA","Y",26,0,0,0,0,0,0,7,2010,"WD ","Normal"
2334,376162,60,"RL",102,12858,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",9,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","SomeAggedLvls",162,"SomeAggedLvls","TA","PConc","SomeAggedLvls","TA","Unf",0,0,1590,1590,"GasA","Ex","Y",1627,707,0,0,0,2,1,3,1,"SomeAggedLvls",10,"Typ",1,"Attchd",2009,"Fin",3,751,"TA","TA","Y",144,133,0,0,0,0,0,1,2010,"SomeAggedLvls","SomeAggedLvls"
1704,306000,20,"RL",98,11478,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",8,5,2007,2008,"Gable","CompShg","VinylSd","VinylSd","SomeAggedLvls",200,"Gd","TA","PConc","SomeAggedLvls","TA","GLQ",1218,0,486,1704,"GasA","Ex","Y",1704,0,0,1,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2008,"RFn",3,772,"TA","TA","Y",0,50,0,0,0,0,0,5,2010,"WD ","Normal"
1940,395192,20,"RL",83,10159,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",9,5,2009,2010,"Hip","CompShg","VinylSd","VinylSd","SomeAggedLvls",450,"SomeAggedLvls","TA","PConc","SomeAggedLvls","TA","GLQ",1646,0,284,1930,"GasA","Ex","Y",1940,0,0,1,0,2,1,3,1,"SomeAggedLvls",8,"Typ",1,"Attchd",2010,"Fin",3,606,"TA","TA","Y",168,95,0,0,0,0,0,4,2010,"SomeAggedLvls","SomeAggedLvls"
1544,290941,20,"RL",94,12883,"Pave","IR1","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",8,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","SomeAggedLvls",256,"Gd","TA","PConc","Gd","TA","Unf",0,0,1544,1544,"GasA","Ex","Y",1544,0,0,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2009,"RFn",3,868,"TA","TA","Y",0,35,0,0,0,0,0,6,2010,"SomeAggedLvls","SomeAggedLvls"
1541,220000,20,"RL",95,12182,"Pave","Reg","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",7,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",226,"Gd","TA","PConc","Gd","TA","SomeAggedLvls",1201,0,340,1541,"GasA","Ex","Y",1541,0,0,0,0,2,0,3,1,"Gd",7,"Typ",1,"Attchd",2005,"RFn",2,532,"TA","TA","Y",0,70,0,0,0,0,0,5,2010,"SomeAggedLvls","SomeAggedLvls"
1698,275000,20,"RL",90,11520,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","SomeAggedLvls","Norm","1Fam","1Story",9,5,2005,2005,"Hip","CompShg","VinylSd","VinylSd","BrkFace",615,"Gd","TA","PConc","SomeAggedLvls","TA","GLQ",110,0,1588,1698,"GasA","Ex","Y",1698,0,0,0,0,2,0,3,1,"SomeAggedLvls",7,"Typ",1,"Attchd",2005,"Fin",3,730,"TA","TA","Y",192,74,0,0,0,0,0,6,2010,"WD ","Normal"
1822,259000,20,"RL",79,14122,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",8,5,2005,2006,"Hip","CompShg","SomeAggedLvls","SomeAggedLvls","BrkFace",240,"Gd","TA","PConc","SomeAggedLvls","TA","GLQ",28,0,1794,1822,"GasA","Ex","Y",1822,0,0,0,0,2,0,3,1,"SomeAggedLvls",8,"Typ",1,"Attchd",2005,"RFn",3,678,"TA","TA","Y",0,119,0,0,0,0,0,2,2010,"WD ","Normal"
1535,214000,20,"RL",70,10171,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","BrkFace",168,"Gd","TA","PConc","Gd","TA","GLQ",2,0,1515,1517,"GasA","Ex","Y",1535,0,0,0,0,2,0,3,1,"Gd",7,"Typ",0,"Attchd",2004,"RFn",2,532,"TA","TA","Y",0,0,0,0,0,0,0,3,2010,"WD ","Normal"
2364,611657,20,"RL",100,12919,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",9,5,2009,2010,"Hip","CompShg","VinylSd","VinylSd","SomeAggedLvls",760,"SomeAggedLvls","TA","PConc","SomeAggedLvls","TA","GLQ",2188,0,142,2330,"GasA","Ex","Y",2364,0,0,1,0,2,1,2,1,"SomeAggedLvls",11,"Typ",2,"Attchd",2009,"Fin",3,820,"TA","TA","Y",0,67,0,0,0,0,0,3,2010,"SomeAggedLvls","SomeAggedLvls"
1358,224000,120,"RL",44,6371,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",7,5,2009,2010,"Gable","CompShg","VinylSd","VinylSd","SomeAggedLvls",128,"Gd","TA","PConc","Gd","TA","GLQ",733,0,625,1358,"GasA","Ex","Y",1358,0,0,1,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2010,"RFn",2,484,"TA","TA","Y",192,35,0,0,0,0,0,6,2010,"SomeAggedLvls","SomeAggedLvls"
2696,500000,20,"RL",110,14300,"Pave","Reg","SomeAggedLvls","Inside","SomeAggedLvls","SomeAggedLvls","Norm","Norm","1Fam","1Story",9,5,2003,2004,"Hip","CompShg","VinylSd","VinylSd","BrkFace",1095,"SomeAggedLvls","TA","PConc","SomeAggedLvls","TA","GLQ",1373,0,1473,2846,"GasA","Ex","Y",2696,0,0,1,0,2,1,3,1,"SomeAggedLvls",10,"Typ",2,"Attchd",2003,"Fin",3,958,"TA","TA","Y",220,150,0,0,0,0,0,6,2010,"WD ","Normal"
2250,320000,60,"RL",105,13650,"Pave","Reg","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",8,5,2002,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",232,"Gd","TA","PConc","Gd","TA","GLQ",578,0,1093,1671,"GasA","Ex","Y",1687,563,0,1,0,2,1,3,1,"Gd",7,"Typ",1,"Attchd",2002,"Fin",3,756,"TA","TA","Y",238,130,0,0,0,0,0,6,2010,"WD ","Normal"
1752,319900,120,"RL",61,7658,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",9,5,2005,2005,"Hip","CompShg","MetalSd","MetalSd","BrkFace",412,"SomeAggedLvls","TA","PConc","SomeAggedLvls","TA","GLQ",456,0,1296,1752,"GasA","Ex","Y",1752,0,0,1,0,2,0,2,1,"SomeAggedLvls",6,"Typ",1,"Attchd",2005,"RFn",2,576,"TA","TA","Y",196,82,0,0,0,0,0,2,2010,"WD ","Normal"
1370,205000,120,"RL",41,7132,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",8,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","SomeAggedLvls",178,"Gd","TA","PConc","Gd","TA","GLQ",24,0,1346,1370,"GasA","Ex","Y",1370,0,0,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2006,"RFn",2,484,"TA","TA","Y",120,49,0,0,0,0,0,4,2010,"WD ","Normal"
1626,175500,160,"RL",36,2628,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","SomeAggedLvls","SomeAggedLvls",106,"Gd","TA","PConc","Gd","TA","Unf",0,0,764,764,"GasA","Ex","Y",764,862,0,0,0,2,1,2,1,"Gd",6,"Typ",0,"SomeAggedLvls",2003,"RFn",2,474,"TA","TA","Y",0,27,0,0,0,0,0,6,2010,"WD ","Normal"
1324,199500,20,"RL",100,18494,"Pave","IR1","Lvl","Corner","Gtl","SomeAggedLvls","Norm","Norm","1Fam","1Story",6,5,2005,2005,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Unf",0,0,1324,1324,"GasA","Ex","Y",1324,0,0,0,0,2,0,3,1,"Gd",6,"Typ",0,"Attchd",2005,"Fin",2,430,"TA","TA","Y",36,23,0,0,0,0,0,1,2010,"WD ","Normal"
1145,160000,120,"RL",43,3203,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",7,5,2006,2006,"Gable","CompShg","VinylSd","VinylSd","BrkFace",14,"Gd","TA","PConc","Gd","TA","GLQ",16,0,1129,1145,"GasA","Ex","Y",1145,0,0,0,0,2,0,2,1,"Gd",6,"Typ",0,"Attchd",2006,"Fin",2,437,"TA","TA","Y",100,116,0,0,0,0,0,1,2010,"WD ","Normal"
1269,192000,120,"RL",43,3182,"Pave","Reg","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","SomeAggedLvls","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","BrkFace",16,"Gd","TA","PConc","Gd","TA","GLQ",24,0,1232,1256,"GasA","Ex","Y",1269,0,0,0,0,2,0,2,1,"Gd",6,"Typ",1,"Attchd",2004,"Fin",2,430,"TA","TA","Y",146,20,0,0,144,0,0,4,2010,"WD ","Normal"
1374,184500,80,"RL",67,13300,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","SomeAggedLvls",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","GLQ",326,0,58,384,"GasA","Ex","Y",744,630,0,1,0,2,1,3,1,"Gd",7,"Typ",1,"SomeAggedLvls",2004,"Fin",2,400,"TA","TA","Y",100,0,0,0,0,0,0,6,2010,"WD ","Normal"
1733,185088,60,"RL",63,8577,"Pave","IR1","Lvl","Inside","Gtl","SomeAggedLvls","Norm","Norm","1Fam","2Story",7,5,2004,2004,"Gable","CompShg","VinylSd","VinylSd","None",0,"Gd","TA","PConc","Gd","TA","Unf",0,0,847,847,"GasA","Ex","Y",847,886,0,0,0,2,1,3,1,"Gd",7,"Typ",1,"SomeAggedLvls",2004,"Fin",2,433,"TA","TA","Y",144,48,0,0,0,0,0,4,2010,"WD ","Normal"
